wavelengths,reflectance
2011.7745,0.023875697
2019.1931,0.024044132
2026.6118,0.024450595
2034.0304,0.023838477
2041.4471,0.025217963
2048.865,0.024771662
2056.2808,0.022589538
2063.6965,0.02413272
2071.1123,0.015643993
2078.5273,0.01819177
2085.9421,0.020280322
2093.3562,0.022869356
2100.769,0.028045196
2108.1821,0.030632254
2115.5942,0.035628885
2123.0063,0.044093527
2130.4175,0.050379623
2137.8289,0.056769744
2145.239,0.06266882
2152.6482,0.070851155
2160.0576,0.07854007
2167.467,0.08800661
2174.8755,0.097278535
2182.283,0.101928666
2189.6904,0.11016878
2197.097,0.11746829
2204.5034,0.12296537
2211.9092,0.1306057
2219.3147,0.13519175
2226.7195,0.14113678
2234.1233,0.14409545
2241.5269,0.14583488
2248.9297,0.14874656
2256.3328,0.14661334
2263.7346,0.14348798
2271.1365,0.13848582
2278.5376,0.13206093
2285.9387,0.12350393
2293.3386,0.115538776
2300.7378,0.10426774
2308.136,0.096918404
2315.5342,0.087654315
2322.9326,0.07900164
2330.3298,0.071314454
2337.7263,0.06783184
2345.1216,0.06391504
2352.517,0.060188178
2359.9126,0.053891476
2367.3071,0.05315749
2374.7007,0.048564594
2382.0935,0.050214276
2389.486,0.04668632
2396.878,0.042519275
2404.2695,0.043417256
2411.6604,0.041793656
2419.0513,0.044468313
2426.4402,0.03583732
2433.8303,0.03530629
2441.2183,0.035728898
2448.6064,0.03377897
2455.9944,0.031485394
2463.3816,0.025956076
2470.7678,0.02904225
2478.153,0.028505767
2485.5386,0.019987902
2492.9238,0.012999248
